,voltage_before
0,1.19
1,1.16
2,1.21
3,1.15
4,1.1700000000000002
5,1.25
6,1.1700000000000002
7,1.1700000000000002
8,1.2
9,1.12
10,1.16
11,1.07
12,1.01
13,1.27
14,1.31
