,voltage_before
0,1.12
1,1.1
2,1.06
3,1.13
4,1.11
5,0.98
6,0.89
7,1.26
8,1.15
9,1.2
10,1.23
11,1.92
12,1.1700000000000002
13,0.98
14,1.1700000000000002
