,time,current
0,0.00594,1.16583e-07
1,0.10067,1.17091e-07
2,0.20067,1.18227e-07
3,0.30068,1.17673e-07
4,0.40068,1.18396e-07
5,0.50063,1.19304e-07
6,0.60063,1.18184e-07
7,0.70067,1.18492e-07
8,0.80063,1.16926e-07
9,0.90068,1.18909e-07
10,1.00068,1.18387e-07
11,1.10067,1.18212e-07
12,1.20063,1.18768e-07
13,1.3006300000000002,1.17716e-07
14,1.40067,1.17327e-07
15,1.5006700000000002,1.17895e-07
16,1.60067,1.18151e-07
17,1.70067,1.17815e-07
18,1.8006700000000002,1.15483e-07
19,1.90068,1.17106e-07
20,2.00091,1.17221e-07
21,2.10062,1.16528e-07
22,2.20067,1.1738e-07
23,2.30067,1.17131e-07
24,2.4006800000000004,1.14652e-07
25,2.5014100000000004,1.15366e-07
26,2.60067,1.15141e-07
27,2.70067,1.1564e-07
28,2.80067,1.39966e-07
29,2.9006700000000003,1.39989e-07
30,3.0006800000000005,1.39391e-07
31,3.10067,1.39368e-07
32,3.20068,1.37602e-07
33,3.30067,1.31704e-07
34,3.4006700000000003,1.30548e-07
35,3.5006700000000004,1.39368e-07
36,3.60068,1.3993099999999998e-07
37,3.70067,1.40008e-07
38,3.80068,1.38265e-07
39,3.90067,1.41048e-07
40,4.0008,1.37322e-07
41,4.10067,1.4096e-07
42,4.20068,1.4068e-07
43,4.30067,1.40569e-07
44,4.40068,1.4034e-07
45,4.50068,1.39543e-07
46,4.6006800000000005,1.41374e-07
47,4.70063,1.40053e-07
48,4.80067,1.3971e-07
49,4.900670000000001,1.38169e-07
50,5.0006200000000005,1.35848e-07
51,5.10067,1.31017e-07
52,5.20068,1.41772e-07
53,5.300680000000001,1.41766e-07
54,5.40068,1.30418e-07
55,5.50068,1.32666e-07
56,5.6006800000000005,1.37284e-07
57,5.70068,1.37796e-07
58,5.800680000000001,1.36687e-07
59,5.9006300000000005,1.39736e-07
60,6.00063,1.39601e-07
61,6.1006800000000005,1.31e-07
62,6.20068,1.39267e-07
63,6.300680000000001,1.33299e-07
64,6.40068,1.41426e-07
65,6.50067,1.41228e-07
66,6.6006800000000005,1.41928e-07
67,6.700670000000001,1.43234e-07
68,6.800680000000001,1.41269e-07
69,6.90068,1.41603e-07
70,7.00063,1.4258e-07
71,7.1006800000000005,1.40138e-07
72,7.200670000000001,1.36092e-07
73,7.30068,1.3634e-07
74,7.40068,1.32029e-07
75,7.500680000000002,1.33909e-07
76,7.60068,1.40176e-07
77,7.70062,1.41726e-07
78,7.80063,1.42011e-07
79,7.90063,1.31164e-07
80,8.000670000000001,1.31612e-07
81,8.10068,1.41022e-07
82,8.20068,1.41818e-07
83,8.30063,1.41397e-07
84,8.40067,1.41535e-07
85,8.500680000000001,1.37389e-07
86,8.60092,1.41612e-07
87,8.70068,1.42377e-07
88,8.80067,1.40811e-07
89,8.90062,1.40865e-07
90,9.000670000000001,1.41914e-07
91,9.10068,1.4166e-07
92,9.20067,1.41625e-07
93,9.30067,1.42065e-07
94,9.40062,1.41167e-07
95,9.500680000000001,1.41453e-07
96,9.600670000000001,1.41719e-07
97,9.70067,1.41423e-07
98,9.80068,1.40977e-07
99,9.90213,1.41419e-07
100,10.00067,1.429e-07
101,10.10062,1.41138e-07
102,10.20067,1.40522e-07
103,10.30067,1.34152e-07
104,10.40062,1.41819e-07
105,10.50068,1.41873e-07
106,10.60067,1.35117e-07
107,10.70063,1.4109799999999998e-07
108,10.800680000000002,1.33575e-07
109,10.90068,1.36259e-07
110,11.00068,1.43502e-07
111,11.10068,1.42653e-07
112,11.20068,1.4376e-07
113,11.30067,1.42966e-07
114,11.400670000000002,1.43284e-07
115,11.50067,1.42809e-07
116,11.60067,1.43706e-07
117,11.70067,1.44717e-07
118,11.800680000000002,1.44365e-07
119,11.90068,1.42476e-07
120,12.00063,1.44146e-07
121,12.10068,1.43344e-07
122,12.20063,1.42119e-07
123,12.300680000000002,1.43815e-07
124,12.400670000000002,1.36449e-07
125,12.50067,1.41364e-07
126,12.60062,1.41815e-07
127,12.70062,1.40044e-07
128,12.80062,1.31507e-07
129,12.90068,1.41289e-07
130,13.00068,1.41211e-07
131,13.10068,1.40587e-07
132,13.200680000000002,1.42215e-07
133,13.300680000000002,1.42726e-07
134,13.40063,1.42319e-07
135,13.50149,1.41398e-07
136,13.60068,1.42164e-07
137,13.70067,1.42476e-07
138,13.800680000000002,1.41484e-07
139,13.90068,1.41947e-07
140,14.00068,1.32671e-07
141,14.10066,1.4284e-07
142,14.20079,1.43061e-07
143,14.300680000000002,1.43357e-07
144,14.40068,1.43969e-07
145,14.50063,1.42028e-07
146,14.60068,1.4389e-07
147,14.700680000000002,1.42646e-07
148,14.800680000000002,1.41545e-07
149,14.90068,1.42391e-07
150,15.00068,1.4276e-07
151,15.10068,1.41988e-07
152,15.20079,1.4151e-07
153,15.300680000000002,1.42749e-07
154,15.40068,1.41116e-07
155,15.50068,1.43e-07
156,15.60068,1.41834e-07
157,15.700680000000002,1.42048e-07
158,15.800680000000002,1.41447e-07
159,15.900670000000002,1.41225e-07
160,16.000680000000003,1.32728e-07
161,16.10068,1.42481e-07
162,16.200670000000002,1.42355e-07
163,16.30067,1.41138e-07
164,16.40068,1.42305e-07
165,16.500680000000003,1.36932e-07
166,16.60068,1.42723e-07
167,16.700680000000002,1.42075e-07
168,16.80068,1.40039e-07
169,16.90068,1.42486e-07
170,17.000680000000003,1.42756e-07
171,17.10068,1.4266199999999998e-07
172,17.200670000000002,1.41759e-07
173,17.30067,1.42441e-07
174,17.40067,1.4328e-07
175,17.500670000000003,1.41798e-07
176,17.60067,1.43035e-07
177,17.700680000000002,1.41087e-07
178,17.80067,1.32328e-07
179,17.90068,1.41101e-07
180,18.000680000000003,1.42289e-07
181,18.10068,1.34818e-07
182,18.20063,1.42196e-07
183,18.30068,1.43327e-07
184,18.400630000000003,1.43161e-07
185,18.500680000000003,1.43313e-07
186,18.60068,1.43351e-07
187,18.70068,1.4341e-07
188,18.80067,1.43272e-07
189,18.900630000000003,1.43328e-07
190,19.00063,1.42938e-07
191,19.10068,1.43833e-07
192,19.200840000000003,1.42707e-07
193,19.30068,1.43143e-07
194,19.40068,1.32337e-07
195,19.500680000000003,1.42757e-07
196,19.60093,1.34838e-07
197,19.70068,1.42178e-07
198,19.800680000000003,1.41888e-07
199,19.90076,1.42342e-07
200,20.000680000000003,1.34612e-07
201,20.10068,1.43011e-07
202,20.20133,1.41716e-07
203,20.300680000000003,1.4318e-07
204,20.40068,1.43815e-07
205,20.502090000000003,1.43484e-07
206,20.60068,1.44262e-07
207,20.70067,1.33944e-07
208,20.800680000000003,1.43086e-07
209,20.90068,1.4234e-07
210,21.001340000000003,1.43936e-07
211,21.10068,1.43024e-07
212,21.20068,1.31911e-07
213,21.300680000000003,1.41708e-07
214,21.40067,1.34783e-07
215,21.50063,1.418e-07
216,21.600620000000003,1.42816e-07
217,21.70067,1.40802e-07
