, V1, I1
208,2.08,4.045000000000001e-12
209,2.09,4.304e-12
210,2.1,4.298000000000001e-12
211,2.11,4.496e-12
212,2.12,4.461000000000001e-12
213,2.13,4.525e-12
214,2.14,4.748e-12
215,2.15,4.798e-12
216,2.16,4.982e-12
217,2.17,4.901e-12
218,2.18,5.202000000000001e-12
219,2.19,5.466e-12
220,2.2,5.404000000000001e-12
221,2.21,5.657000000000001e-12
222,2.22,5.710000000000001e-12
223,2.23,5.963e-12
224,2.24,6.103e-12
225,2.25,6.339e-12
226,2.26,6.455e-12
227,2.27,6.506000000000001e-12
228,2.28,6.677000000000001e-12
229,2.29,6.913000000000001e-12
230,2.3000000000000003,6.894e-12
231,2.31,7.1480000000000015e-12
232,2.32,7.274e-12
233,2.33,7.457000000000001e-12
234,2.34,7.75e-12
235,2.35,7.971e-12
236,2.36,8.213e-12
237,2.37,8.487000000000001e-12
238,2.38,8.693000000000001e-12
239,2.39,8.815e-12
240,2.4,9.04e-12
241,2.41,9.287000000000001e-12
242,2.42,9.591e-12
243,2.43,9.76e-12
244,2.44,9.876e-12
245,2.45,1.012e-11
246,2.46,1.0273e-11
247,2.47,1.0907e-11
248,2.48,1.1044e-11
249,2.49,1.1169e-11
250,2.5,1.1518000000000002e-11
251,2.51,1.1743e-11
252,2.52,1.2025e-11
253,2.53,1.2388e-11
254,2.54,1.2758e-11
255,2.5500000000000003,1.2924e-11
256,2.56,1.3377000000000002e-11
257,2.57,1.3649e-11
258,2.58,1.3784000000000002e-11
259,2.59,1.4481000000000002e-11
260,2.6,1.4629e-11
261,2.61,1.491e-11
262,2.62,1.5453000000000002e-11
263,2.63,1.6427000000000002e-11
264,2.64,1.6816e-11
265,2.65,1.7380000000000002e-11
266,2.66,1.763e-11
267,2.67,1.7798e-11
268,2.68,1.8091e-11
269,2.69,1.8697e-11
270,2.7,1.9109e-11
271,2.71,1.9667e-11
272,2.72,1.9906e-11
273,2.73,2.0463000000000003e-11
274,2.74,2.1296e-11
275,2.75,2.2008e-11
276,2.76,2.2371e-11
277,2.77,2.2817e-11
278,2.78,2.2908e-11
279,2.79,2.4128e-11
280,2.8000000000000003,2.3587000000000003e-11
281,2.81,2.5721e-11
282,2.82,2.5166000000000003e-11
283,2.83,3.1012e-11
284,2.84,3.1362e-11
285,2.85,3.2526e-11
286,2.86,3.4583000000000005e-11
287,2.87,3.5597000000000005e-11
288,2.88,5.2237000000000005e-11
289,2.89,3.7205e-11
290,2.9,3.5218000000000004e-11
291,2.91,3.4730000000000006e-11
292,2.92,3.5595e-11
293,2.93,3.8688e-11
294,2.94,4.4261000000000006e-11
295,2.95,3.8588e-11
296,2.96,3.7749e-11
297,2.97,4.0346000000000006e-11
298,2.98,4.1882000000000006e-11
299,2.99,4.0339e-11
300,3.0,4.2247e-11
301,3.01,4.1884e-11
302,3.02,4.2527e-11
303,3.03,4.6105000000000005e-11
304,3.04,5.6911e-11
305,3.0500000000000003,6.1555e-11
306,3.06,5.2979000000000005e-11
307,3.0700000000000003,5.219e-11
308,3.08,5.2610000000000006e-11
309,3.09,5.5505000000000006e-11
310,3.1,5.2454000000000006e-11
311,3.11,5.3846000000000005e-11
312,3.12,6.692100000000001e-11
313,3.13,6.6809e-11
314,3.14,7.731400000000001e-11
315,3.15,1.38089e-10
316,3.16,1.12705e-10
317,3.17,8.2827e-11
318,3.18,1.2914e-10
319,3.19,1.16893e-10
320,3.2,9.6365e-11
321,3.21,9.9087e-11
322,3.22,2.5445500000000003e-10
323,3.23,2.15582e-10
324,3.24,1.96413e-10
325,3.25,7.16074e-10
326,3.26,4.752590000000001e-10
327,3.27,4.09476e-10
328,3.28,4.861e-10
329,3.29,4.56913e-08
330,3.3000000000000003,3.2322699999999995e-08
331,3.31,2.92715e-08
332,3.3200000000000003,4.881649999999999e-08
333,3.33,1.95187e-08
334,3.34,3.02619e-08
335,3.35,2.95573e-08
336,3.36,3.88546e-08
337,3.37,3.66607e-08
338,3.38,4.03162e-08
339,3.39,5.38664e-08
340,3.4,7.021709999999999e-08
341,3.41,6.24589e-08
342,3.42,5.923739999999999e-08
343,3.43,4.92265e-08
344,3.44,5.11405e-08
345,3.45,4.95414e-08
346,3.46,5.36301e-08
347,3.47,4.78805e-08
348,3.48,3.19362e-08
349,3.49,3.97628e-08
350,3.5,5.08073e-08
351,3.51,6.762239999999999e-08
352,3.52,5.075889999999999e-08
353,3.53,5.519989999999999e-08
354,3.54,7.88285e-08
355,3.5500000000000003,7.12121e-08
356,3.56,7.968079999999999e-08
357,3.5700000000000003,7.047e-08
358,3.58,4.635069999999999e-08
359,3.59,5.385519999999999e-08
360,3.6,4.0574e-08
361,3.61,8.787099999999998e-08
362,3.62,1.14181e-07
363,3.63,8.985129999999999e-08
364,3.64,9.11561e-08
365,3.65,9.5779e-08
366,3.66,8.04062e-08
367,3.67,8.147829999999999e-08
368,3.68,1.48272e-07
369,3.69,1.24143e-07
370,3.7,1.00334e-07
371,3.71,1.37904e-07
372,3.72,1.13365e-07
373,3.73,1.26637e-07
374,3.74,1.34595e-07
375,3.75,1.48597e-07
376,3.76,1.49806e-07
377,3.77,1.59652e-07
378,3.78,1.33875e-07
379,3.79,1.28184e-07
380,3.8,1.83124e-07
