V1,I1
0.0,3.6583000000000004e-11
0.01,1.0022399999999999e-08
0.02,2.05092e-08
0.03,3.05343e-08
0.04,4.16961e-08
0.05,5.32965e-08
0.06,6.6049e-08
0.07,8.00954e-08
0.08,9.243049999999999e-08
0.09,1.0907579999999999e-07
0.1,1.23357e-07
0.11,1.42525e-07
0.12,1.66592e-07
0.13,1.85898e-07
0.14,2.10808e-07
0.15,2.35561e-07
0.16,2.58935e-07
0.17,2.88836e-07
0.18,3.19468e-07
0.19,3.57822e-07
0.2,3.8761999999999997e-07
0.21,4.35523e-07
0.22,4.87273e-07
0.23,5.13895e-07
0.24,5.52193e-07
0.25,5.95555e-07
0.26,6.163809999999999e-07
0.27,5.68954e-07
0.28,6.053689999999999e-07
0.29,6.3757e-07
0.3,6.92528e-07
0.31,7.35055e-07
0.32,7.69665e-07
0.33,8.65306e-07
0.34,9.290199999999999e-07
0.35000000000000003,9.87387e-07
0.36,1.0871e-06
0.37,1.117545e-06
0.38,1.2833500000000002e-06
0.39,1.3783000000000002e-06
0.4,1.3244700000000002e-06
0.41000000000000003,1.43702e-06
0.42,1.5443200000000001e-06
0.43,1.7593800000000001e-06
0.44,1.88242e-06
0.45,1.99751e-06
0.46,2.08774e-06
0.47000000000000003,2.1396800000000003e-06
0.48,2.40917e-06
0.49,2.4423900000000003e-06
0.5,2.4668300000000002e-06
0.51,2.6467700000000002e-06
0.52,2.7665900000000005e-06
0.53,2.9047600000000003e-06
0.54,3.02021e-06
0.55,3.2465900000000005e-06
0.56,3.38193e-06
0.5700000000000001,3.6225900000000004e-06
0.58,3.90343e-06
0.59,4.111990000000001e-06
0.6,4.343690000000001e-06
0.61,4.781380000000001e-06
0.62,4.36111e-06
0.63,5.08956e-06
0.64,4.64995e-06
0.65,6.234730000000001e-06
0.66,6.4170000000000006e-06
0.67,6.084610000000001e-06
0.68,6.016050000000001e-06
0.6900000000000001,6.732510000000001e-06
0.7000000000000001,6.395050000000001e-06
0.71,6.540480000000001e-06
0.72,6.553620000000001e-06
0.73,6.73382e-06
0.74,6.4930500000000005e-06
0.75,6.296310000000001e-06
0.76,6.9054e-06
0.77,6.8559700000000005e-06
0.78,7.544940000000001e-06
0.79,7.89365e-06
0.8,8.166410000000001e-06
0.81,8.20289e-06
0.8200000000000001,1.0145330000000001e-05
0.8300000000000001,1.0465010000000001e-05
0.84,1.0237640000000001e-05
0.85,1.0553110000000001e-05
0.86,1.18564e-05
0.87,1.1705900000000001e-05
0.88,1.0584200000000001e-05
0.89,1.15495e-05
0.9,1.27465e-05
0.91,1.3871600000000001e-05
0.92,1.45007e-05
0.93,1.97753e-05
0.9400000000000001,1.88854e-05
0.9500000000000001,0.00010000220000000001
0.96,0.00010000220000000001
0.97,0.00010000220000000001
0.98,0.00010000220000000001
0.99,0.00010000220000000001
1.0,0.00010000220000000001
1.01,0.00010000220000000001
1.02,0.00010000220000000001
1.03,0.0001000023
1.04,0.0001000023
1.05,0.0001000023
1.06,0.00010000220000000001
1.07,0.0001000023
1.08,0.0001000023
1.09,0.00010000220000000001
1.1,0.0001000023
1.11,0.0001000023
1.12,0.00010000220000000001
1.1300000000000001,0.0001000023
1.1400000000000001,0.00010000220000000001
1.1500000000000001,0.0001000023
1.16,0.0001000023
1.17,0.0001000023
1.18,0.00010000220000000001
1.19,0.00010000220000000001
1.2,0.00010000220000000001
1.21,0.0001000023
1.22,0.0001000023
1.23,0.00010000220000000001
1.24,0.00010000220000000001
1.25,0.00010000220000000001
1.26,0.0001000023
1.27,0.0001000023
1.28,0.0001000023
1.29,0.00010000220000000001
1.3,0.0001000023
1.31,0.0001000023
1.32,0.0001000023
1.33,0.00010000220000000001
1.34,0.0001000023
1.35,0.0001000023
1.36,0.0001000023
1.37,0.0001000023
1.3800000000000001,0.0001000023
1.3900000000000001,0.00010000220000000001
1.4000000000000001,0.00010000220000000001
1.41,0.0001000023
1.42,0.0001000023
1.43,0.0001000023
1.44,0.00010000220000000001
1.45,0.0001000023
1.46,0.0001000023
1.47,0.00010000240000000001
1.48,0.0001000023
1.49,0.0001000023
1.5,0.00010000220000000001
1.51,0.00010000220000000001
1.52,0.00010000220000000001
1.53,0.00010000220000000001
1.54,0.00010000220000000001
1.55,0.00010000220000000001
1.56,0.0001000023
1.57,0.00010000220000000001
1.58,0.0001000023
1.59,0.0001000023
1.6,0.00010000220000000001
1.61,0.0001000023
1.62,0.0001000023
1.6300000000000001,0.00010000220000000001
1.6400000000000001,0.0001000023
1.6500000000000001,0.00010000220000000001
1.6600000000000001,0.00010000220000000001
1.67,0.0001000023
1.68,0.00010000220000000001
1.69,0.0001000023
1.7,0.00010000220000000001
1.71,0.0001000023
1.72,0.0001000023
1.73,0.0001000023
1.74,0.00010000220000000001
1.75,0.00010000240000000001
1.76,0.00010000220000000001
1.77,0.0001000023
1.78,0.0001000023
1.79,0.00010000220000000001
1.8,0.00010000240000000001
1.81,0.0001000023
1.82,0.00010000220000000001
1.83,0.00010000220000000001
1.84,0.0001000021
1.85,0.0001000023
1.86,0.00010000220000000001
1.87,0.0001000023
1.8800000000000001,0.00010000220000000001
1.8900000000000001,0.0001000021
1.9000000000000001,0.00010000220000000001
1.9100000000000001,0.00010000220000000001
1.92,0.0001000023
1.93,0.00010000220000000001
1.94,0.00010000220000000001
1.95,0.0001000023
1.96,0.00010000240000000001
1.97,0.0001000023
1.98,0.00010000220000000001
1.99,0.00010000240000000001
2.0,0.0001000023
2.0100000000000002,0.0001000023
2.02,0.0001000023
2.0300000000000002,0.0001000023
2.04,0.00010000220000000001
2.05,0.00010000220000000001
2.06,0.0001000023
2.07,0.00010000220000000001
2.08,0.0001000023
2.09,0.00010000220000000001
2.1,0.0001000023
2.11,0.00010000220000000001
2.12,0.00010000220000000001
2.13,0.00010000220000000001
2.14,0.0001000023
2.15,0.0001000023
2.16,0.0001000023
2.17,0.00010000220000000001
2.18,0.0001000023
2.19,0.0001000023
2.2,0.00010000220000000001
2.21,0.0001000023
2.22,0.0001000023
2.23,0.00010000220000000001
2.24,0.00010000220000000001
2.25,0.00010000220000000001
2.2600000000000002,0.0001000023
2.27,0.0001000023
2.2800000000000002,0.0001000023
2.29,0.0001000023
2.3000000000000003,0.00010000220000000001
2.31,0.0001000023
2.32,0.0001000023
2.33,0.0001000023
2.34,0.0001000023
2.35,0.0001000023
2.36,0.00010000220000000001
2.37,0.00010000220000000001
2.38,0.0001000023
2.39,0.0001000023
2.4,0.0001000023
2.41,0.00010000220000000001
2.42,0.00010000220000000001
2.43,0.00010000220000000001
2.44,0.0001000023
2.45,0.00010000220000000001
2.46,0.00010000220000000001
2.47,0.00010000220000000001
2.48,0.00010000220000000001
2.49,0.00010000220000000001
2.5,0.0001000023
2.5100000000000002,0.00010000220000000001
2.52,0.00010000220000000001
2.5300000000000002,0.0001000023
2.54,0.00010000220000000001
2.5500000000000003,0.0001000023
2.56,0.0001000023
2.57,0.0001000023
2.58,0.0001000023
2.59,0.0001000023
2.6,0.00010000220000000001
2.61,0.0001000023
2.62,0.0001000021
2.63,0.00010000220000000001
2.64,0.0001000023
2.65,0.0001000023
2.66,0.00010000220000000001
2.67,0.0001000023
2.68,0.0001000023
2.69,0.00010000220000000001
2.7,0.0001000023
2.71,0.0001000023
2.72,0.00010000220000000001
2.73,0.00010000220000000001
2.74,0.00010000220000000001
2.75,0.00010000220000000001
