V1,I1
0.0,1.2991e-11
0.01,1.81531e-08
0.02,3.66934e-08
0.03,5.5308499999999995e-08
0.04,7.46515e-08
0.05,9.485509999999999e-08
0.06,1.16143e-07
0.07,1.36728e-07
0.08,1.58173e-07
0.09,1.83166e-07
0.1,2.08151e-07
0.11,2.39704e-07
0.12,2.71807e-07
0.13,3.04883e-07
0.14,3.36875e-07
0.15,3.79988e-07
0.16,4.22532e-07
0.17,4.68542e-07
0.18,5.10776e-07
0.19,5.52968e-07
0.2,6.010729999999999e-07
0.21,6.48465e-07
0.22,7.06316e-07
0.23,7.55013e-07
0.24,8.16433e-07
0.25,8.70509e-07
0.26,9.46794e-07
0.27,1.1127300000000001e-06
0.28,1.1897800000000001e-06
0.29,1.3459400000000002e-06
0.3,1.4733100000000002e-06
0.31,1.7321200000000002e-06
0.32,1.9146000000000003e-06
0.33,2.0331100000000003e-06
0.34,1.9802700000000004e-06
0.35000000000000003,2.01084e-06
0.36,2.1119900000000004e-06
0.37,2.14214e-06
0.38,2.0694100000000003e-06
0.39,2.09059e-06
0.4,2.1440800000000002e-06
0.41000000000000003,2.30476e-06
0.42,2.6958400000000003e-06
0.43,2.8071500000000003e-06
0.44,2.8905700000000003e-06
0.45,3.0954400000000003e-06
0.46,3.3743800000000005e-06
0.47000000000000003,3.3886000000000005e-06
0.48,3.3144500000000005e-06
0.49,4.2398000000000005e-06
0.5,4.84115e-06
0.51,4.756220000000001e-06
0.52,4.2604200000000005e-06
0.53,4.4526500000000005e-06
0.54,4.2941900000000005e-06
0.55,4.5203600000000005e-06
0.56,4.73634e-06
0.5700000000000001,5.436750000000001e-06
0.58,5.66785e-06
0.59,5.937010000000001e-06
0.6,5.8843600000000005e-06
0.61,5.92417e-06
0.62,5.4621700000000004e-06
0.63,5.4564200000000005e-06
0.64,5.48888e-06
0.65,5.763800000000001e-06
0.66,5.99861e-06
0.67,5.634620000000001e-06
0.68,5.620600000000001e-06
0.6900000000000001,5.997130000000001e-06
0.7000000000000001,6.294e-06
0.71,6.753730000000001e-06
0.72,6.953360000000001e-06
0.73,7.437930000000001e-06
0.74,7.747930000000001e-06
0.75,7.317790000000001e-06
0.76,7.83365e-06
0.77,8.602580000000002e-06
0.78,9.199490000000002e-06
0.79,9.350650000000002e-06
0.8,9.79905e-06
0.81,9.816960000000002e-06
0.8200000000000001,1.0127150000000002e-05
0.8300000000000001,1.0423500000000001e-05
0.84,1.10854e-05
0.85,1.1201400000000001e-05
0.86,1.2789900000000001e-05
0.87,1.29649e-05
0.88,1.03905e-05
0.89,1.07598e-05
0.9,1.1417900000000001e-05
0.91,1.17803e-05
0.92,1.29188e-05
0.93,1.37025e-05
0.9400000000000001,1.32935e-05
0.9500000000000001,1.45311e-05
0.96,1.6414e-05
0.97,1.75374e-05
0.98,1.63156e-05
0.99,0.0001000023
1.0,0.0001000023
1.01,0.0001000023
1.02,0.0001000023
1.03,0.0001000023
1.04,0.0001000023
1.05,0.0001000023
1.06,0.0001000023
1.07,0.00010000240000000001
1.08,0.0001000023
1.09,0.0001000023
1.1,0.00010000220000000001
1.11,0.0001000023
1.12,0.00010000220000000001
1.1300000000000001,0.00010000220000000001
1.1400000000000001,0.0001000023
1.1500000000000001,0.0001000023
1.16,0.00010000220000000001
1.17,0.0001000023
1.18,0.00010000220000000001
1.19,0.0001000023
1.2,0.0001000023
1.21,0.0001000023
1.22,0.0001000023
1.23,0.00010000220000000001
1.24,0.00010000220000000001
1.25,0.00010000220000000001
1.26,0.0001000023
1.27,0.0001000023
1.28,0.00010000220000000001
1.29,0.0001000023
1.3,0.0001000023
1.31,0.0001000023
1.32,0.0001000023
1.33,0.00010000220000000001
1.34,0.00010000220000000001
1.35,0.00010000220000000001
1.36,0.00010000220000000001
1.37,0.00010000220000000001
1.3800000000000001,0.00010000220000000001
1.3900000000000001,0.0001000023
1.4000000000000001,0.0001000023
1.41,0.0001000023
1.42,0.0001000023
1.43,0.0001000023
1.44,0.0001000023
1.45,0.00010000220000000001
1.46,0.0001000023
1.47,0.00010000220000000001
1.48,0.0001000023
1.49,0.00010000220000000001
1.5,0.00010000220000000001
1.51,0.00010000220000000001
1.52,0.00010000220000000001
