V1,I1
0.0,2.3948e-11
0.01,2.9872e-08
0.02,6.05978e-08
0.03,9.138959999999999e-08
0.04,1.2027699999999999e-07
0.05,1.52822e-07
0.06,1.85467e-07
0.07,2.12684e-07
0.08,2.5335e-07
0.09,2.89281e-07
0.1,3.30755e-07
0.11,3.72431e-07
0.12,4.07041e-07
0.13,4.64386e-07
0.14,5.12905e-07
0.15,5.729e-07
0.16,6.2912e-07
0.17,6.87904e-07
0.18,7.483019999999999e-07
0.19,8.03784e-07
0.2,8.77419e-07
0.21,9.163969999999999e-07
0.22,1.025789e-06
0.23,1.1259079999999999e-06
0.24,1.1554600000000002e-06
0.25,1.2135700000000001e-06
0.26,1.2659300000000002e-06
0.27,1.3393500000000001e-06
0.28,1.3308e-06
0.29,1.4728400000000002e-06
0.3,1.5337800000000001e-06
0.31,1.5881900000000002e-06
0.32,1.6799500000000001e-06
0.33,1.7494300000000001e-06
0.34,1.8360800000000002e-06
0.35000000000000003,1.9744100000000004e-06
0.36,2.03556e-06
0.37,2.08832e-06
0.38,2.17214e-06
0.39,2.2710900000000003e-06
0.4,2.35872e-06
0.41000000000000003,2.4578700000000002e-06
0.42,2.45257e-06
0.43,2.6658100000000002e-06
0.44,2.69967e-06
0.45,2.82907e-06
0.46,2.7666800000000004e-06
0.47000000000000003,2.9385300000000003e-06
0.48,3.35232e-06
0.49,3.52741e-06
0.5,3.6847900000000004e-06
0.51,3.85971e-06
0.52,3.99584e-06
0.53,4.09961e-06
0.54,4.321280000000001e-06
0.55,4.539120000000001e-06
0.56,4.413340000000001e-06
0.5700000000000001,4.994570000000001e-06
0.58,5.326890000000001e-06
0.59,5.2860700000000005e-06
0.6,4.09147e-06
0.61,4.203550000000001e-06
0.62,3.8331100000000005e-06
0.63,4.02566e-06
0.64,4.30839e-06
0.65,4.36657e-06
0.66,4.722580000000001e-06
0.67,4.897510000000001e-06
0.68,5.048500000000001e-06
0.6900000000000001,5.33203e-06
0.7000000000000001,5.375490000000001e-06
0.71,5.96858e-06
0.72,6.7603400000000006e-06
0.73,6.755800000000001e-06
0.74,6.9218e-06
0.75,6.016440000000001e-06
0.76,6.201270000000001e-06
0.77,6.490450000000001e-06
0.78,7.055860000000001e-06
0.79,7.4571900000000005e-06
0.8,8.36614e-06
0.81,8.8784e-06
0.8200000000000001,9.958280000000001e-06
0.8300000000000001,1.0236620000000001e-05
0.84,9.3216e-06
0.85,8.889610000000001e-06
0.86,9.437650000000001e-06
0.87,1.12604e-05
0.88,1.3715500000000001e-05
0.89,1.3557200000000001e-05
0.9,1.35252e-05
0.91,1.31239e-05
0.92,1.41524e-05
0.93,1.6078e-05
0.9400000000000001,1.57938e-05
0.9500000000000001,0.0001000023
0.96,0.0001000023
0.97,0.00010000220000000001
0.98,0.0001000023
0.99,0.0001000023
1.0,0.0001000023
1.01,0.0001000023
1.02,0.00010000220000000001
1.03,0.0001000023
1.04,0.0001000023
1.05,0.0001000023
1.06,0.0001000023
1.07,0.00010000220000000001
1.08,0.00010000220000000001
1.09,0.00010000220000000001
1.1,0.00010000220000000001
1.11,0.00010000220000000001
1.12,0.00010000220000000001
1.1300000000000001,0.0001000023
1.1400000000000001,0.0001000023
1.1500000000000001,0.0001000023
1.16,0.00010000220000000001
1.17,0.0001000023
1.18,0.00010000220000000001
1.19,0.00010000220000000001
1.2,0.00010000220000000001
1.21,0.0001000023
1.22,0.00010000220000000001
1.23,0.0001000023
1.24,0.0001000023
1.25,0.0001000023
1.26,0.0001000023
1.27,0.00010000220000000001
1.28,0.00010000220000000001
1.29,0.0001000023
1.3,0.00010000220000000001
1.31,0.0001000023
1.32,0.0001000023
1.33,0.00010000220000000001
1.34,0.0001000023
1.35,0.00010000220000000001
1.36,0.00010000220000000001
1.37,0.00010000220000000001
1.3800000000000001,0.0001000023
1.3900000000000001,0.0001000023
1.4000000000000001,0.00010000220000000001
1.41,0.00010000220000000001
1.42,0.00010000220000000001
1.43,0.00010000220000000001
1.44,0.00010000220000000001
1.45,0.0001000023
1.46,0.00010000220000000001
1.47,0.00010000220000000001
1.48,0.0001000023
1.49,0.0001000021
1.5,0.00010000220000000001
1.51,0.00010000220000000001
1.52,0.00010000220000000001
1.53,0.00010000220000000001
1.54,0.00010000220000000001
1.55,0.00010000220000000001
1.56,0.0001000023
1.57,0.0001000023
1.58,0.0001000023
1.59,0.0001000023
1.6,0.0001000023
1.61,0.0001000023
1.62,0.00010000220000000001
1.6300000000000001,0.00010000220000000001
1.6400000000000001,0.0001000023
1.6500000000000001,0.0001000023
1.6600000000000001,0.0001000023
1.67,0.0001000023
1.68,0.0001000023
1.69,0.0001000023
