V1,I1
0.0,5.1575000000000007e-11
0.01,1.1360699999999999e-08
0.02,2.3405299999999997e-08
0.03,3.59501e-08
0.04,4.96352e-08
0.05,6.38959e-08
0.06,7.987889999999999e-08
0.07,9.647359999999999e-08
0.08,1.14956e-07
0.09,1.3445e-07
0.1,1.5572e-07
0.11,1.79211e-07
0.12,2.02537e-07
0.13,2.29235e-07
0.14,2.53974e-07
0.15,2.87389e-07
0.16,3.15098e-07
0.17,3.47663e-07
0.18,3.77499e-07
0.19,4.54809e-07
0.2,4.83304e-07
0.21,5.51045e-07
0.22,5.77323e-07
0.23,6.21864e-07
0.24,6.5655e-07
0.25,7.24924e-07
0.26,7.90995e-07
0.27,8.32856e-07
0.28,8.88179e-07
0.29,1.013037e-06
0.3,9.47597e-07
0.31,9.866949999999999e-07
0.32,1.046538e-06
0.33,1.118193e-06
0.34,1.2093900000000002e-06
0.35000000000000003,1.30541e-06
0.36,1.3912800000000002e-06
0.37,1.46153e-06
0.38,1.5356400000000002e-06
0.39,1.5748400000000002e-06
0.4,1.7306000000000002e-06
0.41000000000000003,1.7443000000000002e-06
0.42,1.8726600000000003e-06
0.43,2.0184900000000004e-06
0.44,2.1510200000000004e-06
0.45,2.3206200000000004e-06
0.46,2.4793400000000004e-06
0.47000000000000003,2.6358200000000004e-06
0.48,2.6761400000000004e-06
0.49,2.8083900000000002e-06
0.5,2.9322400000000003e-06
0.51,3.0526500000000003e-06
0.52,3.2013700000000004e-06
0.53,3.3848900000000006e-06
0.54,3.5567e-06
0.55,3.7515100000000003e-06
0.56,3.8091200000000002e-06
0.5700000000000001,3.9990400000000004e-06
0.58,4.50791e-06
0.59,4.48212e-06
0.6,4.6253500000000005e-06
0.61,4.8083e-06
0.62,5.169810000000001e-06
0.63,5.25473e-06
0.64,5.13832e-06
0.65,5.070910000000001e-06
0.66,5.046790000000001e-06
0.67,5.35075e-06
0.68,5.631750000000001e-06
0.6900000000000001,6.10555e-06
0.7000000000000001,6.286310000000001e-06
0.71,6.885350000000001e-06
0.72,8.519640000000002e-06
0.73,1.017077e-05
0.74,1.05236e-05
0.75,1.0895600000000001e-05
0.76,8.2797e-06
0.77,7.963970000000002e-06
0.78,8.306530000000001e-06
0.79,9.12079e-06
0.8,9.8648e-06
0.81,9.65559e-06
0.8200000000000001,1.11594e-05
0.8300000000000001,1.01257e-05
0.84,9.216830000000002e-06
0.85,9.618060000000001e-06
0.86,1.0095130000000001e-05
0.87,1.0712920000000002e-05
0.88,1.09932e-05
0.89,1.15505e-05
0.9,1.26428e-05
0.91,1.20461e-05
0.92,1.4671100000000001e-05
0.93,1.59002e-05
0.9400000000000001,1.69672e-05
0.9500000000000001,1.80366e-05
0.96,1.8401000000000002e-05
0.97,2.0012700000000002e-05
0.98,1.82352e-05
0.99,1.69517e-05
1.0,1.9535200000000002e-05
1.01,2.06733e-05
1.02,2.2613100000000002e-05
1.03,3.0110300000000002e-05
1.04,0.0001000023
1.05,0.00010000220000000001
1.06,0.0001000023
1.07,0.0001000023
1.08,0.00010000220000000001
1.09,0.00010000220000000001
1.1,0.00010000220000000001
1.11,0.0001000023
1.12,0.00010000220000000001
1.1300000000000001,0.0001000023
1.1400000000000001,0.00010000220000000001
1.1500000000000001,0.00010000220000000001
1.16,0.00010000220000000001
1.17,0.00010000220000000001
1.18,0.00010000220000000001
1.19,0.00010000220000000001
1.2,0.0001000023
1.21,0.00010000220000000001
1.22,0.0001000023
1.23,0.0001000023
1.24,0.0001000021
1.25,0.0001000023
1.26,0.00010000220000000001
1.27,0.00010000220000000001
1.28,0.0001000021
1.29,0.0001000023
1.3,0.00010000220000000001
1.31,0.0001000023
1.32,0.00010000220000000001
1.33,0.00010000220000000001
1.34,0.00010000220000000001
1.35,0.0001000023
1.36,0.0001000023
1.37,0.00010000220000000001
1.3800000000000001,0.0001000023
1.3900000000000001,0.0001000023
1.4000000000000001,0.0001000023
1.41,0.00010000220000000001
1.42,0.0001000023
1.43,0.0001000023
1.44,0.0001000023
1.45,0.0001000023
1.46,0.00010000220000000001
1.47,0.0001000023
1.48,0.00010000220000000001
1.49,0.0001000023
1.5,0.0001000023
1.51,0.00010000220000000001
1.52,0.0001000021
1.53,0.0001000023
1.54,0.00010000220000000001
1.55,0.0001000023
1.56,0.00010000240000000001
1.57,0.00010000240000000001
1.58,0.0001000023
1.59,0.00010000220000000001
1.6,0.0001000023
1.61,0.0001000023
1.62,0.00010000220000000001
1.6300000000000001,0.0001000023
1.6400000000000001,0.0001000023
1.6500000000000001,0.0001000023
1.6600000000000001,0.0001000023
1.67,0.0001000023
1.68,0.0001000023
1.69,0.0001000023
1.7,0.00010000240000000001
1.71,0.0001000023
1.72,0.00010000220000000001
1.73,0.0001000023
1.74,0.00010000220000000001
1.75,0.00010000220000000001
1.76,0.0001000023
1.77,0.0001000023
1.78,0.0001000023
1.79,0.0001000023
1.8,0.00010000220000000001
1.81,0.0001000023
1.82,0.0001000023
1.83,0.0001000023
1.84,0.00010000220000000001
1.85,0.0001000023
1.86,0.0001000023
1.87,0.0001000023
1.8800000000000001,0.0001000023
1.8900000000000001,0.00010000240000000001
1.9000000000000001,0.0001000023
1.9100000000000001,0.0001000023
1.92,0.00010000220000000001
1.93,0.0001000023
1.94,0.0001000023
1.95,0.0001000023
1.96,0.00010000220000000001
1.97,0.0001000023
1.98,0.0001000023
1.99,0.0001000023
2.0,0.0001000023
2.0100000000000002,0.00010000220000000001
2.02,0.0001000023
2.0300000000000002,0.00010000220000000001
2.04,0.0001000023
2.05,0.0001000023
2.06,0.0001000023
2.07,0.0001000023
2.08,0.00010000240000000001
2.09,0.0001000023
2.1,0.0001000023
2.11,0.0001000023
2.12,0.0001000023
2.13,0.0001000023
2.14,0.00010000240000000001
2.15,0.0001000023
2.16,0.0001000023
2.17,0.0001000023
2.18,0.00010000220000000001
2.19,0.00010000220000000001
2.2,0.0001000023
2.21,0.00010000240000000001
2.22,0.0001000023
2.23,0.0001000023
2.24,0.00010000220000000001
2.25,0.0001000023
2.2600000000000002,0.00010000220000000001
2.27,0.00010000240000000001
2.2800000000000002,0.0001000023
2.29,0.0001000023
2.3000000000000003,0.0001000023
2.31,0.0001000023
2.32,0.00010000220000000001
2.33,0.0001000023
2.34,0.0001000023
2.35,0.0001000023
2.36,0.00010000220000000001
2.37,0.0001000023
2.38,0.00010000240000000001
2.39,0.0001000023
2.4,0.0001000023
2.41,0.00010000220000000001
2.42,0.0001000023
2.43,0.0001000023
2.44,0.0001000023
2.45,0.0001000023
2.46,0.0001000023
2.47,0.0001000023
2.48,0.0001000023
2.49,0.0001000023
2.5,0.0001000023
2.5100000000000002,0.00010000220000000001
2.52,0.0001000023
2.5300000000000002,0.00010000240000000001
2.54,0.0001000023
2.5500000000000003,0.0001000023
2.56,0.00010000240000000001
2.57,0.00010000240000000001
2.58,0.0001000023
2.59,0.0001000023
2.6,0.0001000023
2.61,0.0001000023
2.62,0.0001000023
2.63,0.0001000023
2.64,0.0001000023
2.65,0.00010000240000000001
2.66,0.0001000023
2.67,0.0001000023
2.68,0.0001000023
