V1,I1
0.0,2.6932000000000002e-11
0.01,9.40902e-09
0.02,1.90937e-08
0.03,2.9025899999999996e-08
0.04,4.3037799999999994e-08
0.05,5.7253799999999994e-08
0.06,7.081599999999999e-08
0.07,8.396629999999999e-08
0.08,9.723219999999999e-08
0.09,1.1027719999999999e-07
0.1,1.2424599999999999e-07
0.11,1.4688e-07
0.12,1.62234e-07
0.13,1.82451e-07
0.14,2.07496e-07
0.15,2.29635e-07
0.16,2.50863e-07
0.17,2.75485e-07
0.18,3.01677e-07
0.19,3.30435e-07
0.2,3.63471e-07
0.21,3.96824e-07
0.22,4.27825e-07
0.23,4.6784699999999997e-07
0.24,5.17757e-07
0.25,5.56722e-07
0.26,5.95842e-07
0.27,6.52387e-07
0.28,6.97147e-07
0.29,7.37252e-07
0.3,7.97069e-07
0.31,8.49204e-07
0.32,9.06373e-07
0.33,9.64206e-07
0.34,1.038535e-06
0.35000000000000003,1.094157e-06
0.36,1.27121e-06
0.37,1.4890600000000002e-06
0.38,1.3005200000000002e-06
0.39,1.2980800000000002e-06
0.4,1.3737800000000002e-06
0.41000000000000003,1.5514600000000003e-06
0.42,1.70195e-06
0.43,1.7956900000000002e-06
0.44,1.7659000000000001e-06
0.45,1.9012000000000001e-06
0.46,1.9959500000000003e-06
0.47000000000000003,2.17596e-06
0.48,2.33126e-06
0.49,2.3849800000000003e-06
0.5,2.50159e-06
0.51,2.6323e-06
0.52,2.6225300000000003e-06
0.53,2.79748e-06
0.54,2.9231000000000004e-06
0.55,3.06263e-06
0.56,3.4791500000000004e-06
0.5700000000000001,3.7123800000000005e-06
0.58,3.6617200000000006e-06
0.59,3.5452200000000005e-06
0.6,3.7575600000000004e-06
0.61,3.7623300000000004e-06
0.62,3.7057100000000002e-06
0.63,3.877210000000001e-06
0.64,4.0656000000000005e-06
0.65,4.2160800000000005e-06
0.66,4.290160000000001e-06
0.67,4.44566e-06
0.68,4.645960000000001e-06
0.6900000000000001,4.5004e-06
0.7000000000000001,4.850770000000001e-06
0.71,5.034e-06
0.72,5.20883e-06
0.73,5.6972400000000005e-06
0.74,6.07413e-06
0.75,5.964590000000001e-06
0.76,6.248230000000001e-06
0.77,6.93139e-06
0.78,6.98992e-06
0.79,7.333460000000001e-06
0.8,7.7123e-06
0.81,8.292140000000001e-06
0.8200000000000001,8.70381e-06
0.8300000000000001,8.998520000000002e-06
0.84,9.229750000000001e-06
0.85,1.1352900000000001e-05
0.86,1.05635e-05
0.87,1.04594e-05
0.88,1.13316e-05
0.89,1.3479800000000001e-05
0.9,1.33328e-05
0.91,1.26411e-05
0.92,1.44245e-05
0.93,1.4645600000000001e-05
0.9400000000000001,1.48378e-05
0.9500000000000001,1.68035e-05
0.96,1.61917e-05
0.97,1.70626e-05
0.98,1.86107e-05
0.99,2.2942200000000002e-05
1.0,2.1398600000000002e-05
1.01,0.00010000220000000001
1.02,0.00010000220000000001
1.03,0.00010000220000000001
1.04,0.00010000220000000001
1.05,0.0001000023
1.06,0.00010000220000000001
1.07,0.00010000220000000001
1.08,0.0001000023
1.09,0.00010000220000000001
1.1,0.00010000220000000001
1.11,0.00010000220000000001
1.12,0.0001000023
1.1300000000000001,0.0001000023
1.1400000000000001,0.0001000023
1.1500000000000001,0.00010000220000000001
1.16,0.0001000023
1.17,0.0001000021
1.18,0.0001000023
1.19,0.0001000023
1.2,0.00010000220000000001
1.21,0.0001000023
1.22,0.00010000220000000001
1.23,0.0001000023
1.24,0.00010000220000000001
1.25,0.0001000023
1.26,0.00010000220000000001
1.27,0.0001000023
1.28,0.00010000220000000001
1.29,0.00010000220000000001
1.3,0.00010000220000000001
1.31,0.00010000220000000001
1.32,0.0001000023
1.33,0.0001000021
1.34,0.00010000220000000001
1.35,0.0001000023
1.36,0.0001000023
1.37,0.0001000023
1.3800000000000001,0.00010000220000000001
1.3900000000000001,0.00010000220000000001
1.4000000000000001,0.0001000023
1.41,0.00010000220000000001
1.42,0.0001000021
1.43,0.00010000220000000001
1.44,0.00010000220000000001
1.45,0.00010000220000000001
1.46,0.00010000220000000001
1.47,0.0001000023
1.48,0.0001000023
1.49,0.00010000220000000001
1.5,0.00010000220000000001
1.51,0.0001000023
1.52,0.0001000023
1.53,0.00010000220000000001
1.54,0.00010000220000000001
1.55,0.00010000220000000001
1.56,0.00010000240000000001
1.57,0.00010000220000000001
1.58,0.0001000023
1.59,0.00010000220000000001
1.6,0.00010000220000000001
1.61,0.0001000023
1.62,0.0001000023
1.6300000000000001,0.0001000023
1.6400000000000001,0.00010000220000000001
1.6500000000000001,0.00010000220000000001
1.6600000000000001,0.00010000220000000001
1.67,0.00010000220000000001
1.68,0.0001000023
1.69,0.0001000023
1.7,0.00010000220000000001
1.71,0.00010000220000000001
1.72,0.00010000220000000001
1.73,0.00010000220000000001
1.74,0.0001000023
1.75,0.0001000023
1.76,0.00010000220000000001
