V1,I1
0.0,1.5654e-11
0.01,2.1535799999999998e-08
0.02,4.3247199999999994e-08
0.03,6.398429999999999e-08
0.04,8.72139e-08
0.05,1.117498e-07
0.06,1.34162e-07
0.07,1.5658e-07
0.08,1.8545199999999999e-07
0.09,2.04357e-07
0.1,2.26657e-07
0.11,2.48734e-07
0.12,2.81385e-07
0.13,3.14209e-07
0.14,3.42128e-07
0.15,3.7055099999999997e-07
0.16,4.0846299999999997e-07
0.17,4.5127e-07
0.18,4.853999999999999e-07
0.19,5.32453e-07
0.2,5.735979999999999e-07
0.21,6.15033e-07
0.22,6.6741e-07
0.23,7.32697e-07
0.24,7.86809e-07
0.25,8.415279999999999e-07
0.26,1.058988e-06
0.27,1.1603700000000002e-06
0.28,1.25899e-06
0.29,1.3681800000000002e-06
0.3,1.9220000000000004e-06
0.31,2.7644400000000004e-06
0.32,2.9518200000000004e-06
0.33,3.01912e-06
0.34,2.1303800000000003e-06
0.35000000000000003,1.7878500000000002e-06
0.36,1.7411100000000002e-06
0.37,1.7112900000000002e-06
0.38,1.6679700000000002e-06
0.39,1.6934300000000001e-06
0.4,1.8921300000000003e-06
0.41000000000000003,1.99054e-06
0.42,2.1617100000000003e-06
0.43,2.2180200000000003e-06
0.44,2.27397e-06
0.45,2.3557700000000004e-06
0.46,2.53185e-06
0.47000000000000003,2.5865700000000004e-06
0.48,2.7597000000000004e-06
0.49,3.0414400000000005e-06
0.5,2.7702400000000004e-06
0.51,2.65668e-06
0.52,3.2259000000000003e-06
0.53,3.3945000000000003e-06
0.54,3.4865600000000004e-06
0.55,3.6095800000000004e-06
0.56,3.7318300000000004e-06
0.5700000000000001,3.8100800000000005e-06
0.58,3.6320300000000005e-06
0.59,4.025850000000001e-06
0.6,4.299050000000001e-06
0.61,4.56151e-06
0.62,4.32385e-06
0.63,4.95717e-06
0.64,4.15722e-06
0.65,4.38052e-06
0.66,4.59069e-06
0.67,4.91363e-06
0.68,5.056840000000001e-06
0.6900000000000001,5.244580000000001e-06
0.7000000000000001,5.51399e-06
0.71,6.118030000000001e-06
