V1,I1
0.0,3.8840000000000005e-11
0.01,1.3887199999999998e-08
0.02,2.8401499999999998e-08
0.03,4.319589999999999e-08
0.04,5.9038099999999994e-08
0.05,7.606239999999999e-08
0.06,1.0113599999999999e-07
0.07,1.1266279999999998e-07
0.08,1.3285999999999999e-07
0.09,1.54377e-07
0.1,1.77311e-07
0.11,2.0323899999999998e-07
0.12,2.2933799999999999e-07
0.13,2.689e-07
0.14,3.03402e-07
0.15,3.4328e-07
0.16,3.87188e-07
0.17,4.239e-07
0.18,4.66715e-07
0.19,5.05832e-07
0.2,5.58263e-07
0.21,5.81802e-07
0.22,6.371629999999999e-07
0.23,6.848519999999999e-07
0.24,7.419039999999999e-07
0.25,7.967579999999999e-07
0.26,8.51426e-07
0.27,9.14838e-07
0.28,1.0157e-06
0.29,1.13051e-06
0.3,1.17801e-06
0.31,1.2582400000000001e-06
0.32,1.3549400000000002e-06
0.33,1.4512600000000001e-06
0.34,1.7160400000000002e-06
0.35000000000000003,1.6204100000000003e-06
0.36,1.7869100000000003e-06
0.37,1.98238e-06
0.38,2.0578100000000003e-06
0.39,1.95068e-06
0.4,2.0074e-06
0.41000000000000003,2.15248e-06
0.42,2.2226400000000004e-06
0.43,2.34649e-06
0.44,2.4719700000000002e-06
0.45,2.65255e-06
0.46,2.9531500000000003e-06
0.47000000000000003,2.9688600000000002e-06
0.48,3.2115700000000003e-06
0.49,3.5559100000000004e-06
0.5,3.7747600000000004e-06
0.51,3.4208600000000003e-06
0.52,3.1838800000000004e-06
0.53,3.2378900000000005e-06
0.54,3.1512400000000003e-06
0.55,3.4648300000000002e-06
0.56,3.62766e-06
0.5700000000000001,3.6910200000000004e-06
0.58,3.9729000000000005e-06
0.59,4.21161e-06
0.6,4.1960900000000005e-06
0.61,3.99051e-06
0.62,4.024350000000001e-06
0.63,4.15372e-06
0.64,4.53697e-06
0.65,4.541490000000001e-06
0.66,4.9236600000000006e-06
0.67,5.439350000000001e-06
0.68,5.772220000000001e-06
0.6900000000000001,5.76669e-06
0.7000000000000001,5.475750000000001e-06
0.71,5.2320800000000006e-06
0.72,5.586670000000001e-06
0.73,6.323540000000001e-06
0.74,6.674510000000001e-06
0.75,7.63669e-06
0.76,8.5064e-06
0.77,8.499970000000001e-06
